user_id,product_id,product_type,review,rating
올립영전메이투,1,스킨/토너,"🫶현직 올영 메이트의 찐 간증 후기🫶

사실 크림 스킨은 좋다는 말은 정말 많이 들었지만 ,,,? 지성 피부라서 굳이 크림이 들어있는 스킨을 써보고 싶은 생각은 안 들었는데? 석진이 사진이 들어가있다? 10년 좋아한 팬으로 안 구매할 수 없잖아요??? 제품력보단 석진이 때문에 구매했는데 웬걸 써보니 지성 피부인데도 속건조 진짜 잘 채워주고 속 수분 잘 채워지니까 수분광이 아주,,, 피부가 매끈해져서 기분이 너무 좋아졌어요 ! 손에 덜어서 쓰는 게 귀찮아서 패드를 위주로 쓰는데 이건 미스트 펌프도 들어가있어 아주 편리하게 사용할 수 있었어요 ! 제품력도 좋고 석진이 사진은 더 좋고 아쥬 ,,, 굿 템 🍀

온라인 행사의 경우는 오늘드림, 픽업으로 구매하면 사은품이 증정되지 않아요 ! > 그 이유는? 픽업이나 오늘드림은 올리브영 오프라인 매장에서 배송이 오는 상품이므로 온라인에서 나가는 증정이나 샘플이 매장에 있지 않거든요 !

결제창에 사은품란에 내가 원하는 증정품이 적혀있나 꼭 보시고 구매하셔야 합니다 🫶

🙇‍♀️🫶 도움이 되셨다면 좋아요 한번씩만 눌러주세용 🫶🙇‍♀️",5
징쎈,1,스킨/토너,"수분감 있는 촉촉한 토너를 원해서 시킨건데
촉촉하긴 한데 넘 기름져요..
양 조절 잘 하시구요.
그리고 미스트 용기(?)로 바꿔서 쓰고 있긴 한데
분사력이 별로라.. 아쉽네요",3
스리쓰,1,스킨/토너,"수부지입니다 가을되니 너무 건조해서 구매했어요
크림스킨이랬는데 딱 발랐을때 그냥 스킨 느낌이었어요 ㅋㅋ 약간 끈적이는거 같긴해도 확실히 속건조도 잡히고 촉촉한거같아요 가을겨울 잘 사용해볼게요 사은품으로 주신 거울이 참 맘에 듭니당 👍",5
데이지33,1,스킨/토너,"사용법 : 미스트로 체인지 할 수 있어서 너무 좋단데요. 사용하기에 무지 편리합니다.

특징 : 촉촉해져요. 저는 2번 미스트해주고 다음 기초로 넘어가요

개선점 : 미스트로 사용할 수 있게 주실 때는 원래 크림스킨 뚜껑 대신 크기가 작거나 얇은 뚜껑으로 보내주심이 어떠실런지요. 미스트로 바꿔끼니 원래 왔던 큰 뚜껑은 그냥 분리수거하게 되던데 조금 아깝더라구요;; 환경까지 생각하는 라네즈가 되었으면 합니다!!",5
스타일러,1,스킨/토너,"✅ 구매목적 / 내돈내산
건조한 겨울철 피부 보습을 위하여 직접 구매했습니다

✅ 장점
크림스킨 보습력이 정말 좋습니다. 겨울 필수템이에요.
향이 거의 없어서 냄새에 민감한 분도 사용 가능해요.

✅ 단점
가격이 비싸졌어요.
옛날 출시 때부터 사용해왔는데 패키지 변경하면서 점점 비싸지네요.
제품 용기 디자인은 갈수록 산으로 갑니다.
미스트는 빡빡하고 뚜껑은 쓸데없이 과하게 커요.

✅ 주의사항
많이 바르면 눈가에 허옇게 끼고 피부 화장 밀립니다.
화장 전에 크림스킨으로 팩 하시면 절대 아니되옵니다..!

✅ 총평
건조하고 추운 겨울철에 피부 보습을 위한다면 라네즈 크림스킨 추천합니다.",3
매일귀여운강아지,1,스킨/토너,"한줄평 : 스킨을 샀는데 덤으로 존잘남 포토카드까지 받고 기분전환 하고 싶으신 분들, 피부타입 상관없이 가볍고 산뜻하고 수분감 많은 기초 찾으시는 분들께 강추합니다!

원래 민감성 극지성이라 스킨케어를 많이 해봤자 토너, 앰플, 크림 이렇게 3단계로만 사용했는데 피부과 치료를 받기 시작하면서부터 얼굴이 건조해져서 수분 많은 미스트를 찾다가 이 상품이 좋대서 구매하게 됐습니다.

상품 설명란에 고보습 토너라고도 써져 있어서 화장솜에다 적셔서 사용해봤는데 다른 물같은 제형의 토너에 비해서는 좀 농도가 짙고 미끌거리는 수분감 많은 텍스처라 토너로 쓰기에는 무거운감이 있습니다.
그래서 같이 온 미스트 뚜껑으로 교체해 사용해봤더니 너무 좋네요!!!

저는 나이트케어로는 닦토한 후에 이 스킨을 미스트로 사용해서 얼굴 정중앙, 양쪽 뺨, 이마 순으로 한번씩 뿌려준 다음 챱챱 흡수시켜 줍니다. 수분이 가득한 스킨 미스트라 한번씩만 뿌려줘도 충분합니다! 그리고 그 다음으로 앰플 써주고 마지막으로 크림을 발라줍니다.

아침에는 화장이 잘 먹어야 하니까 나이트케어보다 훨씬 가볍고 산뜻하게 기초를 발라주는데 원래 토너, 앰플, 로션 혹은 수분감 많고 가벼운 제형의 크림만 쓰다가 앰플 대신 이 미스트를 뿌리고 나서부터 광명찾았습니다.
특히 여름에 원래 하던대로 화장 전 스킨케어를 하면 좀 무겁게 느껴지는 감이 있었는데 이 스킨은 제형이 정말 가벼워서 피부화장을 해도 산뜻하고 가벼워서 기름도 덜 올라오는 느낌이 드네요🥹

제 피부가 좀 예민한 편이라 민감성용, 저자극 기초만 쓰는데요. 이 스킨은 전혀 자극 없이 수분감만 채워주는 느낌이라 아주 맘에 듭니다.

그리고 연예인에 관심이 없어서 누군지 잘 모르지만 모델이 참 잘생겼네요. 신인 배우인가요?
잘생긴 남자 포토카드까지 덤으로 받으니 개안되는 느낌이라 기분이 좋네요 ㅎㅎ
라네즈는 옛날부터 모델을 참 잘 뽑는듯",5
텅수,1,스킨/토너,"[상품 후기]
1. 외관이 고급스럽고 그림감이 좋음
2. 미스트 방식으로도 사용가능
3. 얼굴에 뿌려지는 느낌이 부드럽고 순한 것 같아서 좋음",5
키위새깜자,1,스킨/토너,"가을이 되면서 피부가 급건조해지기 시작해 보습이 될만한 화장품을 찾아보다가 후기가 좋은 라네즈 크림스킨을 구매하게 되었습니다. 수부지 피부라 유분이 적고 수분이 많은 화장품을 쓰는데 그러다보니 오히려 피부가 건조한 느낌이 들더라구요. 원래 쓰던 가벼운 토너 대신 라네즈 크림스킨을 발라줬을뿐인데 보습감이 넘쳐요. 수부지 피부가 가을, 겨울에 쓰기 좋은 것 같아요. 무향이고 성분도 좋아서 마음에 듭니다.",5
코기러버,1,스킨/토너,"최근 환절기로 피부가 크게 뒤집어져서
기존에 쓰던 토너, 토너패드, 앰플 전부 다
뭘 발라도 따갑고 간지럽고 난리도 아니었어요..
아침 저녁으로 장벽크림만 바르다가
아무래도 하나만 바르니까 좀 건조하고 보습이 약해서
환절기템으로 크림스킨을 사봤습니다
이거 진짜 너무 좋네요.....👍🏼 역시 유명한 이유가 있어요
세안후 바로 2~3번 레이어드해서 흡수시키고
바로 크림 바르는데 찬바람 쌩쌩 불어도 끄떡없어요
예전에 다른 크림미스트 썼다가 너무 기름져서 별로였는데
라네즈는 유분감도 적당하고 속건조에 너무 좋고
흡수가 진짜 빨라서 레이어드해서 차곡차곡 쌓으면
피부가 증말 쫀쫀 그 자체
스프레이 뚜껑이 들어있는 게 진짜 최고에요
묽은 타입이라 개인적으로 쫄쫄 흘려서 바르는 것보다
미스트로 뿌리는 게 사용하기도 훨씬 간편하고
흡수도 빠르고 좋습니다
환절기/겨울용 보습 보충용으로 완전 최고👍🏼👍🏼",5
쩡쫑찡,1,스킨/토너,"여름에 항상 쓰던거 입니다!
환절기나 겨울에 쓰기엔 사용 후 시간이 지나면 크림이 필요할 만큼 건조한 느낌이지만,
여름에는 단품만 써도 충분한 정도의 보습정도 입니다
곧 여름 나라로 가게되어 가지고 가려고 주문했숩니다!
저번에 구매할땐 스프레이가 같이 안와서 아쉬웠는데 이번엔 같이와서 사용하기 좋을거 같아요!",5
